member_casual,month_number,month_name,number_of_rides
casual,1,January,24740
casual,2,February,41173
casual,3,March,87854
casual,4,April,109239
casual,5,May,182770
casual,6,June,292006
casual,7,July,323352
casual,8,August,337878
casual,9,September,265268
casual,10,October,224038
casual,11,November,99091
casual,12,December,28090
member,1,January,113042
member,2,February,160281
member,3,March,229172
member,4,April,262137
member,5,May,319845
member,6,June,386795
member,7,July,440106
member,8,August,452439
member,9,September,449294
member,10,October,422058
member,11,November,257421
member,12,December,112455
