member_casual,hour_of_day,total_rides
casual,0,39545
casual,1,25305
casual,2,16896
casual,3,9301
casual,4,7363
casual,5,11727
casual,6,27013
casual,7,50212
casual,8,71285
casual,9,71040
casual,10,85910
casual,11,109287
casual,12,129007
casual,13,132982
casual,14,139925
casual,15,155617
casual,16,177636
casual,17,192305
casual,18,164974
casual,19,122931
casual,20,88649
casual,21,76096
casual,22,64117
casual,23,46376
member,0,32824
member,1,20244
member,2,12203
member,3,7990
member,4,9043
member,5,35173
member,6,102587
member,7,203637
member,8,261786
member,9,168397
member,10,144535
member,11,168970
member,12,191551
member,13,187493
member,14,190711
member,15,241382
member,16,340998
member,17,388598
member,18,299831
member,19,207287
member,20,144288
member,21,112535
member,22,81935
member,23,51047
